Sentence Index,Sentence
3488,Groups management consider DPC compl ie NBTC announcement regard    Temporary Customer Protection Plan follow th e Expiration Agreement operation    Telecommunication Service Agreement       DPC oblige submit revenue    deduct expense NBTC office
3489,   DPC expense incur service    great revenue generate
3490,DPC    revenue remain submit NBTC    stipulate announcement        note financial statement Advanced Info Service Public Company Limited subsidiary year end December    Chairman CEO Message Company overviewbusinessrisk managementsustainabilityperformancecorporate
3491,GovernanceManagement StructureInternal ControlFinancial Statement Annual Report    form    Report    l    Advanced Info Service Public Company Limited     ADVANCED    INFO    SERVICE    PUBLIC    COMPANY    LIMITED          subsidiary    note          FINANCIAL    statement          year    ended    DECEMBER                Advanced Wireless Network Company Limited AWN  
3492,claim revocation NBTCs order regard Mobile Number Portability MNP         AWN receive administrative order order Office NBTC pay    administrative fine regard mobile number portability issue
3493,AWN file revocation request th e    order Central Administrative Court Black    case    claim Baht     million AWN black case    claim Baht    million AWN   
3494,August     Central Administrative Court verdict black case       revoke administrative fine shall exceed baht    day
3495,result administra tive    fine decrease Baht    million
3496,September     AWN appeal Supreme Administrative Court revoke order regard    administrative fine
3497,currently black case        consider Supreme Ad ministrative Court  
3498,currently black case    consider Central Administrative Court    
3499,AWNs management believe AWN conduct correctly outcome    case significant impact consolidated financial statement Group   
3500,MIMO Tech Company Limited MMT  
3501,claim compensation MMT termina tion print contract Paper Mate    Thailand Co Ltd  
3502,February     Paper Mate Thailand Co Ltd file lawsuit Civil Court Black    case claim compensation MMT termination printing contract
3503,claim Baht    million total  
3504,January     Civil Court dismiss case Paper Mate Thailand Co Ltd    Paper Mate Thailand Co Ltd breach contract
